Rxn	WT_20nM/5uM	pdxBJ_20nM/5uM	pdxBJ/WT_20nM
2DGLCptspp	0.312745714	-0.150419112	-0.983504143
2DGLCptspp	0.247793305	-0.318972856	-1.071781326
2DGLCptspp	0.275929316	0.065712667	-0.266131736
2DGLCptspp	0.241073785	-0.10224412	-0.713379671
2DGLCtex	-0.903871103	-0.523639415	0.429627306
2DGLCtex	0.470065903	-1.366947595	-1.360493472
2DGLCtex	-0.472060634	0.327076275	1.148617799
2DGLCtex	0.180532993	-0.433848486	-1.481278919
2DGULRGx	0.528145387	-0.168463355	-0.022835121
2DGULRGy	0.528145387	-0.168463355	-0.022835121
2DGULRx	0.528145387	-0.168463355	-0.022835121
2DGULRy	0.528145387	-0.168463355	-0.022835121
2DOXG6PP	0.076394179	0.139269842	0.189798469
2DOXG6PP	0.243449883	-0.131475042	-0.079768486
2DOXG6PP	0.340099806	0.104337725	0.600181041
2DOXG6PP	0.346148398	0.375524245	0.008030165
2HESR	0.30570117	0.562077867	0.608175795
2HESR	0.173420939	-0.109283353	-0.553327835
2HPTCOAT	0.015494236	0.156001738	0.063877138
2MAHMP	0.076394179	0.139269842	0.189798469
2MAHMP	0.281704808	0.394972463	-0.114157189
34dhpactex	-0.903871103	-0.523639415	0.429627306
34dhpactex	0.470065903	-1.366947595	-1.360493472
34dhpactex	-0.472060634	0.327076275	1.148617799
34dhpactex	0.180532993	-0.433848486	-1.481278919
3AMACHYD	-1.163109537	-0.986742692	-0.101631871
3AMPtex	-0.903871103	-0.523639415	0.429627306
3AMPtex	0.470065903	-1.366947595	-1.360493472
3AMPtex	-0.472060634	0.327076275	1.148617799
3AMPtex	0.180532993	-0.433848486	-1.481278919
3CMPtex	-0.903871103	-0.523639415	0.429627306
3CMPtex	0.470065903	-1.366947595	-1.360493472
3CMPtex	-0.472060634	0.327076275	1.148617799
3CMPtex	0.180532993	-0.433848486	-1.481278919
3GMPtex	-0.903871103	-0.523639415	0.429627306
3GMPtex	0.470065903	-1.366947595	-1.360493472
3GMPtex	-0.472060634	0.327076275	1.148617799
3GMPtex	0.180532993	-0.433848486	-1.481278919
3HAD100	0.302067461	0.224239453	-0.206194263
3HAD100	0.420194994	-1.097462643	-0.89718856
3HAD120	0.302067461	0.224239453	-0.206194263
3HAD120	0.420194994	-1.097462643	-0.89718856
3HAD121	0.302067461	0.224239453	-0.206194263
3HAD121	0.420194994	-1.097462643	-0.89718856
3HAD140	0.302067461	0.224239453	-0.206194263
3HAD140	0.420194994	-1.097462643	-0.89718856
3HAD141	0.302067461	0.224239453	-0.206194263
3HAD141	0.420194994	-1.097462643	-0.89718856
3HAD160	0.302067461	0.224239453	-0.206194263
3HAD160	0.420194994	-1.097462643	-0.89718856
3HAD161	0.302067461	0.224239453	-0.206194263
3HAD161	0.420194994	-1.097462643	-0.89718856
3HAD180	0.302067461	0.224239453	-0.206194263
3HAD180	0.420194994	-1.097462643	-0.89718856
3HAD181	0.302067461	0.224239453	-0.206194263
3HAD181	0.420194994	-1.097462643	-0.89718856
3HAD40	0.302067461	0.224239453	-0.206194263
3HAD40	0.420194994	-1.097462643	-0.89718856
3HAD60	0.302067461	0.224239453	-0.206194263
3HAD60	0.420194994	-1.097462643	-0.89718856
3HAD80	0.302067461	0.224239453	-0.206194263
3HAD80	0.420194994	-1.097462643	-0.89718856
3HBZCT	-0.072480116	-0.900520023	-0.65190821
3HCINNMH	-2.077037077	0.121548727	0.547674414
3HPADHi	-0.351701611	-0.112069188	1.480768887
3HPPPNH	-2.077037077	0.121548727	0.547674414
3HPPtex	-0.903871103	-0.523639415	0.429627306
3HPPtex	0.470065903	-1.366947595	-1.360493472
3HPPtex	-0.472060634	0.327076275	1.148617799
3HPPtex	0.180532993	-0.433848486	-1.481278919
3KGK	-1.676770941	0.235142908	0.432180427
3NTD2pp	0.336154067	-0.07032033	-0.006132627
3NTD2pp	0.307535723	-0.007158276	-0.011436802
3NTD4pp	0.336154067	-0.07032033	-0.006132627
3NTD4pp	0.307535723	-0.007158276	-0.011436802
3NTD7pp	0.336154067	-0.07032033	-0.006132627
3NTD7pp	0.307535723	-0.007158276	-0.011436802
3NTD9pp	0.336154067	-0.07032033	-0.006132627
3NTD9pp	0.307535723	-0.007158276	-0.011436802
3OAR100	0.21791866	-0.14893819	-0.529378234
3OAR120	0.21791866	-0.14893819	-0.529378234
3OAR121	0.21791866	-0.14893819	-0.529378234
3OAR140	0.21791866	-0.14893819	-0.529378234
3OAR141	0.21791866	-0.14893819	-0.529378234
3OAR160	0.21791866	-0.14893819	-0.529378234
3OAR161	0.21791866	-0.14893819	-0.529378234
3OAR180	0.21791866	-0.14893819	-0.529378234
3OAR181	0.21791866	-0.14893819	-0.529378234
3OAR40	0.21791866	-0.14893819	-0.529378234
3OAR60	0.21791866	-0.14893819	-0.529378234
3OAR80	0.21791866	-0.14893819	-0.529378234
3OAS100	0.34752852	-0.519424194	-0.793117883
3OAS100	0.352442386	-0.490439104	0.441288122
3OAS120	0.34752852	-0.519424194	-0.793117883
3OAS120	0.352442386	-0.490439104	0.441288122
3OAS121	0.352442386	-0.490439104	0.441288122
3OAS140	0.34752852	-0.519424194	-0.793117883
3OAS140	0.352442386	-0.490439104	0.441288122
3OAS141	0.352442386	-0.490439104	0.441288122
3OAS160	0.34752852	-0.519424194	-0.793117883
3OAS160	0.352442386	-0.490439104	0.441288122
3OAS161	0.352442386	-0.490439104	0.441288122
3OAS180	0.34752852	-0.519424194	-0.793117883
3OAS180	0.352442386	-0.490439104	0.441288122
3OAS181	0.34752852	-0.519424194	-0.793117883
3OAS60	0.34752852	-0.519424194	-0.793117883
3OAS60	0.352442386	-0.490439104	0.441288122
3OAS80	0.34752852	-0.519424194	-0.793117883
3OAS80	0.352442386	-0.490439104	0.441288122
3OXCOAT	-0.092860355	-0.585077412	-0.855625308
3PEPTabcpp	0.143602805	-1.399671301	-1.994119137
3PEPTabcpp	0.122975421	-0.772423717	-0.83058002
3PEPTabcpp	0.03208058	-1.424977274	-1.731950625
3PEPTabcpp	-0.016238792	-1.942150733	-2.379628619
3PEPTabcpp	-0.043999713	-2.515305263	-3.092090773
3PEPTabcpp	0.323165328	-0.124854193	-0.272154688
3PEPTabcpp	-0.099094435	-0.003027612	0.025852821
3PEPTabcpp	-0.06925318	0.002601641	-0.166545679
3PEPTabcpp	-0.084963219	0.076817388	0.124670304
3PEPTabcpp	-0.039463063	0.01154941	-0.419096843
3PEPTtex	-0.903871103	-0.523639415	0.429627306
3PEPTtex	0.470065903	-1.366947595	-1.360493472
3PEPTtex	-0.472060634	0.327076275	1.148617799
3PEPTtex	0.180532993	-0.433848486	-1.481278919
3SLAR	-1.37943102	-0.019746286	0.804089777
3UMPtex	-0.903871103	-0.523639415	0.429627306
3UMPtex	0.470065903	-1.366947595	-1.360493472
3UMPtex	-0.472060634	0.327076275	1.148617799
3UMPtex	0.180532993	-0.433848486	-1.481278919
42A12BOOXpp	-0.959216532	0.226091539	0.959753102
4ABZGLUH	-0.664213367	0.415073304	0.827404761
4ABZGLUH	-0.781483697	-0.417051667	0.5107279
4ABZGLUtex	-0.903871103	-0.523639415	0.429627306
4ABZGLUtex	0.470065903	-1.366947595	-1.360493472
4ABZGLUtex	-0.472060634	0.327076275	1.148617799
4ABZGLUtex	0.180532993	-0.433848486	-1.481278919
4ABZGLUtr	-0.435667696	0.260075489	0.425263851
4HBZt3pp	-1.133717608	1.122527836	1.626634687
4HBZt3pp	-0.333804027	0.602682482	0.741158514
4HOXPACDtex	-0.903871103	-0.523639415	0.429627306
4HOXPACDtex	0.470065903	-1.366947595	-1.360493472
4HOXPACDtex	-0.472060634	0.327076275	1.148617799
4HOXPACDtex	0.180532993	-0.433848486	-1.481278919
4HTHRA	0.266402323	-0.597006978	-0.388017835
4HTHRK	0.218047687	0.883391439	1.179965102
4PCP	0.322802663	0.398193505	0.002028331
4PCPpp	0.22606857	0.511100697	0.677792924
4PEPTabcpp	0.143602805	-1.399671301	-1.994119137
4PEPTabcpp	0.122975421	-0.772423717	-0.83058002
4PEPTabcpp	0.03208058	-1.424977274	-1.731950625
4PEPTabcpp	-0.016238792	-1.942150733	-2.379628619
4PEPTabcpp	-0.043999713	-2.515305263	-3.092090773
4PEPTabcpp	-0.099094435	-0.003027612	0.025852821
4PEPTabcpp	-0.06925318	0.002601641	-0.166545679
4PEPTabcpp	-0.084963219	0.076817388	0.124670304
4PEPTabcpp	-0.039463063	0.01154941	-0.419096843
4PEPTtex	-0.903871103	-0.523639415	0.429627306
4PEPTtex	0.470065903	-1.366947595	-1.360493472
4PEPTtex	-0.472060634	0.327076275	1.148617799
4PEPTtex	0.180532993	-0.433848486	-1.481278919
5DGLCNR	-0.322719929	0.126564022	0.687311701
5DGLCNt2rpp	-0.258853691	0.351633162	0.91545517
5DGLCNtex	-0.903871103	-0.523639415	0.429627306
5DGLCNtex	0.470065903	-1.366947595	-1.360493472
5DGLCNtex	-0.472060634	0.327076275	1.148617799
5DGLCNtex	0.180532993	-0.433848486	-1.481278919
5DKGR	0.024459181	0.022331509	0.189682681
5DKGR	-0.322719929	0.126564022	0.687311701
5DOAN	0.320456557	-0.548679502	-1.077769088
5MTRtex	-0.903871103	-0.523639415	0.429627306
5MTRtex	0.470065903	-1.366947595	-1.360493472
5MTRtex	-0.472060634	0.327076275	1.148617799
5MTRtex	0.180532993	-0.433848486	-1.481278919
6D6SFK	-0.232746172	0.049267318	-0.1079286
6D6SPA	-0.857582036	0.256593518	0.842562308
A5PISO	0.358729245	-0.078446967	-1.103033542
A5PISO	0.183554962	0.211731706	0.02163674
AACPS1	0.150487571	-0.366042499	-0.435593845
AACPS1	0.33622847	-0.265650145	-0.271772237
AACPS2	0.150487571	-0.366042499	-0.435593845
AACPS2	0.33622847	-0.265650145	-0.271772237
AACPS3	0.150487571	-0.366042499	-0.435593845
AACPS3	0.33622847	-0.265650145	-0.271772237
AACPS4	0.150487571	-0.366042499	-0.435593845
AACPS4	0.33622847	-0.265650145	-0.271772237
AACPS5	0.150487571	-0.366042499	-0.435593845
AACPS5	0.33622847	-0.265650145	-0.271772237
AACPS6	0.150487571	-0.366042499	-0.435593845
AACPS6	0.33622847	-0.265650145	-0.271772237
AACPS7	0.150487571	-0.366042499	-0.435593845
AACPS7	0.33622847	-0.265650145	-0.271772237
AACPS8	0.150487571	-0.366042499	-0.435593845
AACPS8	0.33622847	-0.265650145	-0.271772237
AACPS9	0.150487571	-0.366042499	-0.435593845
AACPS9	0.33622847	-0.265650145	-0.271772237
AADDGT	0.219444419	-0.063741007	-0.114091437
AAMYL	0.207751869	0.272626439	0.243766689
AAMYLpp	-0.019037331	0.137779114	-0.172113883
AB6PGH	-0.113871605	0.018229222	0.370642713
AB6PGH	0.206012807	-0.520554304	-0.751891552
AB6PGH	-1.512373253	-0.389466448	0.233728359
ABTA	-0.375965228	0.190155844	1.658963222
ABTA	0.131599457	0.934440097	1.032391987
ABUTD	0.067293152	0.722960247	1.317573748
ABUTt2pp	-0.390120421	1.560798456	2.053637114
ABUTtex	-0.903871103	-0.523639415	0.429627306
ABUTtex	0.470065903	-1.366947595	-1.360493472
ABUTtex	-0.472060634	0.327076275	1.148617799
ABUTtex	0.180532993	-0.433848486	-1.481278919
ACACCT	-1.170054239	-0.535298357	1.509647917
ACACCT	-1.461123606	0.030986447	0.378964645
ACACCT	-2.40355174	-0.014446101	0.821741383
ACACT1r	-1.090086805	0.426675501	0.957243119
ACACT1r	0.17943703	-1.106621859	-1.381055723
ACACT1r	-0.301737321	0.490455391	0.987555093
ACACt2pp	-1.607187846	0.206502917	0.553747562
ACACT2r	0.17943703	-1.106621859	-1.381055723
ACACT2r	-0.301737321	0.490455391	0.987555093
ACACT3r	0.17943703	-1.106621859	-1.381055723
ACACT3r	-0.301737321	0.490455391	0.987555093
ACACT4r	0.17943703	-1.106621859	-1.381055723
ACACT4r	-0.301737321	0.490455391	0.987555093
ACACT5r	0.17943703	-1.106621859	-1.381055723
ACACT5r	-0.301737321	0.490455391	0.987555093
ACACT6r	0.17943703	-1.106621859	-1.381055723
ACACT6r	-0.301737321	0.490455391	0.987555093
ACACT7r	0.17943703	-1.106621859	-1.381055723
ACACT7r	-0.301737321	0.490455391	0.987555093
ACACT8r	0.17943703	-1.106621859	-1.381055723
ACACT8r	-0.301737321	0.490455391	0.987555093
ACACtex	-0.903871103	-0.523639415	0.429627306
ACACtex	0.470065903	-1.366947595	-1.360493472
ACACtex	-0.472060634	0.327076275	1.148617799
ACACtex	0.180532993	-0.433848486	-1.481278919
ACALD	0.23882045	0.49345355	1.298814411
ACALD	-0.087414597	-0.148501464	-0.787441612
ACALDtex	-0.903871103	-0.523639415	0.429627306
ACALDtex	0.470065903	-1.366947595	-1.360493472
ACALDtex	-0.472060634	0.327076275	1.148617799
ACALDtex	0.180532993	-0.433848486	-1.481278919
ACANTHAT	-0.334549775	0.043244127	1.660268042
ACBIPGT	-0.198102987	0.239782674	0.963353878
ACCOAC	0.527362684	-0.525170486	-0.531214569
ACCOAC	0.365996455	-0.31694596	-0.423565377
ACCOAC	0.190076845	-0.331538891	-0.213151934
ACCOAC	0.391524297	-0.642360302	-0.891015308
ACCOAL	-1.04905244	0.233137183	0.690004314
ACCOAL	0.488244771	-0.640007244	-0.73103199
ACGAL1Ptex	-0.903871103	-0.523639415	0.429627306
ACGAL1Ptex	0.470065903	-1.366947595	-1.360493472
ACGAL1Ptex	-0.472060634	0.327076275	1.148617799
ACGAL1Ptex	0.180532993	-0.433848486	-1.481278919
ACGALtex	-0.903871103	-0.523639415	0.429627306
ACGALtex	0.470065903	-1.366947595	-1.360493472
ACGALtex	-0.472060634	0.327076275	1.148617799
ACGALtex	0.180532993	-0.433848486	-1.481278919
ACGAM1Ptex	-0.903871103	-0.523639415	0.429627306
ACGAM1Ptex	0.470065903	-1.366947595	-1.360493472
ACGAM1Ptex	-0.472060634	0.327076275	1.148617799
ACGAM1Ptex	0.180532993	-0.433848486	-1.481278919
ACGAMK	0.069383266	-0.065767666	-0.478298916
ACGAMT	0.517235556	0.039848307	-0.451810649
ACGAptspp	0.025302105	-0.840177593	-1.21764337
ACGAptspp	0.496839067	0.258697207	-0.453389152
ACGAptspp	0.275929316	0.065712667	-0.266131736
ACGAptspp	0.241073785	-0.10224412	-0.713379671
ACGAptspp	0.208594021	-0.262762913	-0.886925272
ACGAtex	-0.903871103	-0.523639415	0.429627306
ACGAtex	0.470065903	-1.366947595	-1.360493472
ACGAtex	-0.472060634	0.327076275	1.148617799
ACGAtex	0.180532993	-0.433848486	-1.481278919
ACGK	0.349555382	-3.309045373	-3.227727766
ACGS	0.93459968	-2.422535381	-2.122830744
ACHBS	0.243041294	-0.724500283	-0.748849351
ACHBS	0.153410822	-0.744965254	-0.727009499
ACHBS	0.235289835	-0.700164471	-0.318738895
ACHBS	0.218276047	-0.518193317	-0.158129081
ACKr	0.272044609	-1.114606898	-1.332954141
ACKr	0.666314213	-0.127006951	-1.010188464
ACKr	-1.095883735	-0.04245038	-0.029502161
ACLS	0.243041294	-0.724500283	-0.748849351
ACLS	0.153410822	-0.744965254	-0.727009499
ACLS	0.235289835	-0.700164471	-0.318738895
ACLS	0.218276047	-0.518193317	-0.158129081
ACM6PH	-0.008428746	-0.527547554	-2.081762022
ACMAMUT	0.016282012	-0.132228166	0.182738884
ACMANAptspp	0.299921756	0.133954307	-0.830544155
ACMANAptspp	0.312745714	-0.150419112	-0.983504143
ACMANAptspp	0.247793305	-0.318972856	-1.071781326
ACMANAptspp	0.275929316	0.065712667	-0.266131736
ACMANAptspp	0.241073785	-0.10224412	-0.713379671
ACMANAtex	-0.903871103	-0.523639415	0.429627306
ACMANAtex	0.470065903	-1.366947595	-1.360493472
ACMANAtex	-0.472060634	0.327076275	1.148617799
ACMANAtex	0.180532993	-0.433848486	-1.481278919
ACMUMptspp	0.275929316	0.065712667	-0.266131736
ACMUMptspp	0.241073785	-0.10224412	-0.713379671
ACMUMptspp	0.208594021	-0.262762913	-0.886925272
ACMUMptspp	-0.195887961	0.054173111	-0.361852765
ACMUMtex	-0.903871103	-0.523639415	0.429627306
ACMUMtex	0.470065903	-1.366947595	-1.360493472
ACMUMtex	-0.472060634	0.327076275	1.148617799
ACMUMtex	0.180532993	-0.433848486	-1.481278919
ACNAMt2pp	-0.221798442	-0.330728179	-0.899530221
ACNAMtex	0.470065903	-1.366947595	-1.360493472
ACNAMtex	0.180532993	-0.433848486	-1.481278919
ACNAMtex	-0.963865634	0.575401842	1.013366611
ACNML	0.161351327	-0.922523783	-1.612369453
ACOAD1f	0.058858714	0.802356074	1.683984438
ACOAD1fr	-0.617418314	-0.109780179	1.599902451
ACOAD2f	0.058858714	0.802356074	1.683984438
ACOAD3f	0.058858714	0.802356074	1.683984438
ACOAD4f	0.058858714	0.802356074	1.683984438
ACOAD5f	0.058858714	0.802356074	1.683984438
ACOAD6f	0.058858714	0.802356074	1.683984438
ACOAD7f	0.058858714	0.802356074	1.683984438
ACOAD8f	0.058858714	0.802356074	1.683984438
ACOATA	0.17212047	-0.549630421	-0.559973652
ACOATA	0.150487571	-0.366042499	-0.435593845
ACODA	0.304822764	-0.586949181	-0.826585179
ACOLIPAabctex	0.363288825	-0.051777102	-0.269482443
ACOLIPAabctex	0.107044349	-0.046373037	-0.134395909
ACOLIPAabctex	0.192492278	0.283436952	0.128843753
ACOLIPAabctex	0.277832573	-0.087066177	-0.125671511
ACOLIPAabctex	0.31708722	-0.153016329	-0.195797867
ACOLIPAabctex	0.186827508	0.271625516	-0.096252091
ACOLIPAabctex	0.206756435	0.249321099	-0.282057528
ACONMT	0.144223745	0.348300037	0.25632475
ACONTa	0.402047907	-1.061697538	-1.00888662
ACONTa	0.294852654	-0.190204877	-0.109262951
ACONTb	0.402047907	-1.061697538	-1.00888662
ACONTb	0.294852654	-0.190204877	-0.109262951
ACOTA	-0.375965228	0.190155844	1.658963222
ACOTA	-0.505159497	-1.450730236	-0.500147163
ACOTA	0.131599457	0.934440097	1.032391987
ACOTA	0.648621793	-2.257859519	-2.191959289
ACOXT	-1.398028569	0.262619691	1.2446802
ACP1_FMN	0.076394179	0.139269842	0.189798469
ACP1_FMN	0.24525632	0.265629889	0.336291185
ACP1_FMN	0.259950203	-0.043518294	0.161418627
ACP1p	0.336154067	-0.07032033	-0.006132627
ACPPAT120	0.233504981	-0.329793853	-0.743952567
ACPPAT120	0.150487571	-0.366042499	-0.435593845
ACPPAT140	0.233504981	-0.329793853	-0.743952567
ACPPAT140	0.150487571	-0.366042499	-0.435593845
ACPPAT141	0.233504981	-0.329793853	-0.743952567
ACPPAT141	0.150487571	-0.366042499	-0.435593845
ACPPAT160	0.233504981	-0.329793853	-0.743952567
ACPPAT160	0.150487571	-0.366042499	-0.435593845
ACPPAT161	0.233504981	-0.329793853	-0.743952567
ACPPAT161	0.150487571	-0.366042499	-0.435593845
ACPPAT180	0.233504981	-0.329793853	-0.743952567
ACPPAT180	0.150487571	-0.366042499	-0.435593845
ACPPAT181	0.233504981	-0.329793853	-0.743952567
ACPPAT181	0.150487571	-0.366042499	-0.435593845
ACPS1	0.393340717	-0.068803648	0.22812842
ACPS1	0.193982246	0.172653902	-0.043669523
ACS	0.488244771	-0.640007244	-0.73103199
ACSERtex	-0.903871103	-0.523639415	0.429627306
ACSERtex	0.470065903	-1.366947595	-1.360493472
ACSERtex	-0.472060634	0.327076275	1.148617799
ACSERtex	0.180532993	-0.433848486	-1.481278919
ACSERtpp	-0.085295966	-0.148269769	0.668422818
ACSERtpp	-0.126015615	0.43364473	0.495338119
ACt2rpp	0.143744701	0.227851405	0.353875624
ACt4pp	-0.250315223	0.10756216	0.581775676
ACtex	-0.903871103	-0.523639415	0.429627306
ACtex	0.470065903	-1.366947595	-1.360493472
ACtex	-0.472060634	0.327076275	1.148617799
ACtex	0.180532993	-0.433848486	-1.481278919
ADA	0.501724669	0.418627822	-0.270259382
ADCL	0.091660672	0.215577092	0.714136922
ADCL	-0.020491714	-0.518978238	-0.800839474
ADCS	0.11716978	0.217245246	0.176662237
ADCS	-0.045375105	0.452151054	0.369097243
ADD	-0.033872231	-0.46277402	-0.919272138
ADEt2rpp	0.273410031	-1.908332416	-2.325834263
ADEt2rpp	-0.871854692	-0.62485881	0.106393813
ADEt2rpp	0.152194185	-1.230189399	-0.693570112
ADEtex	-0.903871103	-0.523639415	0.429627306
ADEtex	0.470065903	-1.366947595	-1.360493472
ADEtex	-0.472060634	0.327076275	1.148617799
ADEtex	0.180532993	-0.433848486	-1.481278919
ADK1	0.57512365	-0.460591865	-0.435302249
ADK3	0.57512365	-0.460591865	-0.435302249
ADK4	0.57512365	-0.460591865	-0.435302249
ADMDC	0.278096527	-0.482486963	-1.030548567
ADNCYC	0.144328262	0.323438393	-0.329867675
ADNK1	0.57512365	-0.460591865	-0.435302249
ADNt2pp_copy1	0.529450094	-0.56393921	-0.773109513
ADNt2pp_copy1	0.025561925	-1.549889762	-2.253176812
ADNt2pp_copy2	-0.513452515	0.334296347	0.436508097
ADNtex	0.335973842	-0.63203516	-0.914737942
ADNUC	0.199519686	-0.367608182	-1.118270635
ADOCBIK	-0.198102987	0.239782674	0.963353878
ADOCBLabcpp	0.095223636	0.110741636	-0.042648988
ADOCBLabcpp	0.204099425	0.645077463	0.342977574
ADOCBLabcpp	0.155344172	0.123953326	-0.171191324
ADOCBLS	-0.064888044	0.08156549	0.955226756
ADOCBLtonex	0.182673846	0.515640987	-0.213495868
ADOCBLtonex	0.351235761	0.162168647	-0.929169701
ADOCBLtonex	0.13014834	0.354009583	-0.631932714
ADOCBLtonex	0.279530185	-0.967597957	-0.680885948
ADPRDP	0.039959017	-0.122851129	-0.044544218
ADPRDP	0.250664675	-0.404698809	0.468576652
ADPT	0.841130918	-0.533754434	-0.61944728
ADSK	-1.212175863	0.819276552	4.298057615
ADSL1r	0.189370789	-0.720192443	-1.450484899
ADSL2r	0.189370789	-0.720192443	-1.450484899
ADSS	0.481351959	0.038800036	-0.845114474
AGDC	0.011246254	0.312479219	-0.239487757
AGM3PA	0.154399784	-0.049488139	-0.451755276
AGM3PApp	0.152020125	0.167998726	-0.114298395
AGM3PApp	0.326258269	0.214840331	-0.090221981
AGM3PApp	0.27052433	-0.322405224	0.23584885
AGM3PApp	0.195830896	0.232364509	0.120114391
AGM3PH	0.222446706	-0.272922825	-0.526667902
AGM3Pt2pp	0.217699408	-0.46792388	-0.023132183
AGM4PA	0.154399784	-0.049488139	-0.451755276
AGM4PApp	0.152020125	0.167998726	-0.114298395
AGM4PApp	0.326258269	0.214840331	-0.090221981
AGM4PApp	0.27052433	-0.322405224	0.23584885
AGM4PApp	0.195830896	0.232364509	0.120114391
AGM4PCP	0.322802663	0.398193505	0.002028331
AGM4PCPpp	0.22606857	0.511100697	0.677792924
AGM4PH	0.222446706	-0.272922825	-0.526667902
AGM4Pt2pp	0.217699408	-0.46792388	-0.023132183
