,Sort,Name,Original,PDV,PDV-V2,Maize-Expanded,M-MiscBiomass,M-ExpEnergy,M-ModifiedPDV,SimpleThermo
rxn01101_d0,1000,3-Phospho-D-glycerate:NAD+ 2-oxidoreductase,0.0002037749999999,0.000203775,0.0775,0.000203775,0.000203775,0.000203775,0.0002579532331463,0.0002579532331463
rxn01106_c0,1000,"2-Phospho-D-glycerate 2,3-phosphomutase",0.002125,0.002125,3.19,-0.002125,0.002125,-0.002125,0.00319,0.00319
rxn01111_d0,1000,ATP:D-ribulose-5-phosphate 1-phosphotransferase,0.0321299933393357,0.031916667,63.8,0.0321299933393357,0.0321299933393357,0.0321299933393357,0.0639388023541822,0.0639388023541822
rxn01115_c0,1000,6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating),3.3415416620000005e-05,5.42e-05,,3.3415416620000005e-05,3.341541662000001e-05,3.341541662e-05,0.0,0.0086012112924575
rxn01115_d0,1000,6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating),0.000325,0.0004875,1.08,0.000325,0.000325,0.000325,0.00072,0.00072
rxn00789_d0,1000,1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase,-3.51924314992e-05,4.02e-05,0.04021875,-3.51924314992e-05,-3.51924314992e-05,-3.51924314992e-05,-4.021874999999999e-05,-4.0218750000000026e-05
rxn00781_c0,1000,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),-0.002125,0.002125,3.19,-0.002125,-0.002125,-0.002125,-0.0033344048497195,-0.0033344048497195
rxn00248_m0,1000,(S)-malate:NAD+ oxidoreductase,0.005333333,0.005333333,5.333333333,0.005333333,1.5989582499969376e-07,-0.005333333,0.0034412313675197,0.0053333333329999
rxn00474_d0,1000,L-serine hydro-lyase (adding indole; L-tryptophan-forming),2.145e-05,2.145e-05,0.02145,2.145e-05,2.145e-05,2.145e-05,2.1450000000000006e-05,2.1450000000000006e-05
rxn00285_m0,1000,Succinate:CoA ligase (ADP-forming),-0.005333333,0.005333333,5.333333333,-0.005333333,-0.005333333,-0.005333333,-0.0053333333329999,-0.005333333333
rxn00333_x0,1000,Glycolate:oxygen 2-oxidoreductase,0.0004333683033214,0.0005,1.0,0.0004333683033214,0.0004333683033214,0.0004333683033214,0.0008619397318928,0.0008619397318928
rxn00337_d0,1000,ATP:L-aspartate 4-phosphotransferase,0.0002632493087972,0.000249446,0.367916667,0.0002632493087972,0.0002632493087972,0.0002632493087972,0.0006567263664391,0.0006567263664391
rxn00416_c0,1000,L-aspartate:L-glutamine amido-ligase (AMP-forming),3.75e-05,3.75e-05,,3.75e-05,3.75e-05,3.75e-05,0.0005891125026304,0.0
rxn00420_d0,1000,O-phospho-L-serine phosphohydrolase,0.0002037749999999,0.000203775,0.203775,0.000203775,0.000203775,0.000203775,0.0002579532331463,0.0002579532331463
rxn00423_c0,1000,acetyl-CoA:L-serine O-acetyltransferase,2.950000000000001e-05,2.95e-05,,2.95e-05,2.950000000000001e-05,2.95e-05,0.0001503842516282,0.0
rxn00423_d0,1000,acetyl-CoA:L-serine O-acetyltransferase,2.950000000000001e-05,2.95e-05,,2.95e-05,2.95e-05,2.95e-05,1.7073990281349836e-05,0.0
rxn00424_x0,1000,L-Serine:glyoxylate aminotransferase,-0.0005,0.0005,1.0,-0.0005,-0.0005,-0.0005,-0.0011444048497195,-0.0011444048497195
rxn00459_c0,1000,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming),-0.002125,0.002125,3.19,0.002125,0.002125,0.002125,0.00319,0.00319
rxn00490_d0,1000,L-arogenate hydro-lyase (decarboxylating; L-phenylalanine-forming),5.897072358482502e-05,5.9e-05,0.0589875,5.897072358482502e-05,5.897072358482502e-05,5.897072358482502e-05,5.822083299857502e-05,5.822083299857502e-05
rxn00777_c0,1000,D-ribose-5-phosphate aldose-ketose-isomerase,-6.235375014000001e-05,5.42e-05,,-6.235375014000002e-05,-6.235375014000003e-05,-6.235375014000002e-05,-0.0089632154402575,-0.0086005717091575
rxn00571_c0,1000,nitrite:NAD+ oxidoreductase,-0.001541667,0.001541667,1.54,-0.001541667,-0.001541667,-0.001541667,-0.00154,-0.00154
rxn00649_c0,1000,O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase,2.950000000000001e-05,2.95e-05,,2.95e-05,2.950000000000001e-05,2.95e-05,0.0001503842516282,0.0
rxn00649_d0,1000,O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase,2.950000000000001e-05,2.95e-05,,2.95e-05,2.95e-05,2.95e-05,1.7073990281349836e-05,0.0
rxn00649_m0,1000,O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase,0.0,1.47e-06,,0.0,0.0,0.0,0.0,0.0
rxn00692_c0,1000,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase",-0.000126019,0.000126019,,-0.000126019,-0.000126019,-0.0001148924672086,0.0,0.0
rxn00692_d0,1000,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase",-0.0001225482011584,0.000126019,0.12601875,-1.1192707749999977e-06,0.000126019,-9.280124799662352e-05,0.0001260187499999,2.4017303695204226e-05
rxn00692_m0,1000,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase",-0.0002217617340249,0.0005,1.0,-0.0003431906644084,-0.0004703289351834,-0.0002626352199781,-0.0009562350381397,-0.0009956841496326
rxn00693_c0,1000,5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase,0.0001672030642024,2.96e-05,0.147916667,0.0001672030642025,0.0001672030642025,0.0001672030642024,0.0004303596129875,0.0004303596129875
rxn00747_c0,1000,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,0.00116660957706,0.002125,3.19,0.0011666561404049,0.001166656140405,0.0018104206124315,0.0017746204400947,0.0017741407526197
rxn01256_d0,1000,Chorismate pyruvatemutase,0.0011152679429169,0.000104569,0.10456875,0.0011152679429169,0.0011152679429169,0.0011152679429169,0.0011177143490394,0.0011177143490394
rxn01300_d0,1000,ATP:L-homoserine O-phosphotransferase,0.0001743421134308,0.000179733,0.298066667,0.0001743421134308,0.0001743421134308,0.0001743421134308,4.640784445634984e-05,4.6407844456349856e-05
rxn01301_d0,1000,L-Homoserine:NAD+ oxidoreductase,-0.000179733,0.000179733,0.367916667,-8.351630879728744e-05,-0.0001316520260646,-0.0001316520260646,-0.0001493846994391,-0.0003679166669999
rxn19027_d0,1000,acetohydroxy acid reductoisomerase,-0.0002787252854735,0.000176963,0.1769625,-0.0002787252854735,-0.0002787252854735,-0.0002787252854736,-0.0005482892564217,-0.0005482892564218
rxn11040_d0,1000,RXN-3341.c,0.000325,0.0004875,1.08,0.0003249999999999,0.000325,0.000325,0.00072,0.00072
rxn15056_m0,1000,Isocitrate:NAD+ oxidoreductase (decarboxylating),0.005333333,0.005333333,5.333333333,0.005333333,0.005333333,0.005333333,0.005333333333,0.005333333333
rxn15116_c0,1000,"beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)",-0.0009582305271149,0.002125,3.19,-0.00095818396377,-0.00095818396377,-0.0003144194917434,-0.0015596245137997,-0.0015601042012747
rxn15280_m0,1000,isocitrate hydro-lyase (cis-aconitate-forming),-0.005333333,0.005333333,5.333333333,-0.005333333,-0.005333333,-0.005333333,-0.005333333333,-0.005333333333
rxn15298_c0,1000,diphosphate:beta-D-fructose-6-phosphate 1-phosphotransferase,-0.002125,0.002125,3.19,-0.00095818396377,-0.00095818396377,-0.0003144194917434,0.00319,-0.00319
rxn15364_c0,1000,alpha-D-Glucose 6-phosphate ketol-isomerase,-0.002125,0.002125,3.19,-0.0017757388806756,-0.0008913531305299,-0.002125,-0.00319,0.0019779618300766
rxn15364_d0,1000,alpha-D-Glucose 6-phosphate ketol-isomerase,0.002125,0.002125,2.13,0.002125,-0.0013094158780698,0.0,-0.00213,0.00213
rxn15493_c0,1000,ATP:D-fructose-6-phosphate 1-phosphotransferase,0.002125,0.002125,3.19,0.002125,0.002125,0.002125,0.00319,0.00319
rxn15494_c0,1000,"beta-D-Fructose 1,6-bisphosphate 1-phosphohydrolase",0.0009582305271149,0.002125,,0.002125,0.002125,0.002125,0.0079396245137997,0.0015601042012747
rxn19345_d0,1000,CYSSYNMULTI-RXN.c,2.950000000000001e-05,2.95e-05,0.02949375,2.95e-05,2.95e-05,2.95e-05,2.949375e-05,2.9493750000000104e-05
rxn01302_d0,1000,L-homoserine:NADP+ oxidoreductase,5.390886569112477e-06,0.000179733,0.367916667,-0.000179733,0.000179733,0.000179733,-0.0003679166669999,-0.0003679166669999
rxn19701_d0,1000,ferredoxin-nitrite reductase,0.001541667,0.001541667,1.54,0.001541667,0.001541667,0.001541667,0.00154,0.00154
rxn19828_d0,1000,ferredoxin-dependent glutamate synthase,0.001666667,0.001666667,1.66,-0.001666667,0.001666667,-0.001666667,0.0011966293605981,0.00166
rxn19900_c0,1000,tetrahydropteroyltriglutamate methyltransferase,0.0,2.96e-05,,0.0,0.0,0.0,0.0,0.0
rxn20508_c0,1000,phosphate:oxaloacetate carboxy-lyase (phosphorylating),4.796874750000028e-07,0.00028,0.480416667,0.00028,-0.00028,-0.00028,0.000480416667,-0.000480416667
rxn29919_d0,1000,TRANSALDOL-RXN.d,0.0004875,0.0004875,1.08,0.0004875,0.0004875,0.0004875,0.00108,0.00108
rxn00102_d1,1000,carbonate hydro-lyase (carbon-dioxide-forming),-0.031916667,0.031916667,63.8,-0.031916667,-0.031916667,-0.031916667,-0.0638,-0.0638
rxn00151_d1,1000,"ATP:pyruvate,phosphate phosphotransferase",0.031916667,0.031916667,63.8,0.031916667,0.031916667,0.031916667,0.0638,0.0638
rxn00249_d1,1000,(S)-malate:NADP+ oxidoreductase,-0.031916667,0.031916667,63.8,-0.031916667,-0.031916667,-0.031916667,-0.0638,-0.0638
rxn20508_d1,1000,phosphate:oxaloacetate carboxy-lyase (phosphorylating),-0.031916667,0.031916667,63.8,-0.031916667,-0.031916667,-0.031916667,-0.0638,-0.0638
rxn11040_c0,1000,RXN-3341.c,3.3415416620000005e-05,5.42e-05,,3.341541662000001e-05,3.341541662000001e-05,3.341541662e-05,0.0089638550235575,0.0
rxn08764_d0,1000,ketol-acid reductoisomerase (2-Acetolactate),0.0004750082835772,6.7e-05,0.06703125,0.0004750082835772,0.0004750082835772,0.0004750082835772,0.0004750082835772,0.0004750082835772
rxn08094_m0,1000,2-Oxoglutarate dehydrogenase complex,0.005333333,0.005333333,5.333333333,0.005333333,0.005333333,0.005333333,0.0053333333329999,0.005333333333
rxn05467_c0,1000,CO2 transporter via diffusion,-0.0579960179290538,0.84,,-0.0675011368358033,-0.0417625724443167,-0.0674887094344847,-0.0776709411271631,-0.0953056432973529
rxn01345_d0,1000,"Sedoheptulose 1,7-bisphosphate 1-phosphohydrolase",0.031916667,0.031916667,63.8,0.031916667,0.031916667,0.031916667,0.0638,0.0638
rxn01476_c0,1000,"6-Phospho-D-glucono-1,5-lactone lactonohydrolase",6.683083324000001e-05,5.42e-05,,6.683083324000001e-05,6.683083324000002e-05,6.683083324e-05,0.0089638550235575,0.0086012112924575
rxn01476_d0,1000,"6-Phospho-D-glucono-1,5-lactone lactonohydrolase",0.00065,0.0004875,1.08,0.00065,0.00065,0.00065,0.0014399999999999,0.0014399999999999
rxn01575_d0,1000,L-Isoleucine:2-oxoglutarate aminotransferase,-0.0004750082835772,6.2e-05,0.06703125,-0.0004750082835772,-0.0004750082835772,-0.0004750082835772,-0.0004750082835772,-0.0004750082835772
rxn01643_d0,1000,L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating),-0.0002632493087972,0.000249446,0.367916667,-0.0002632493087972,-0.0002632493087972,-0.0002632493087972,-0.0006567263664391,-0.0006567263664391
rxn01682_d0,1000,"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosphate-lyase",2.145e-05,2.145e-05,0.02145,2.145e-05,2.145e-05,2.145e-05,2.1450000000000006e-05,2.1450000000000006e-05
rxn01917_d0,1000,ATP:N-acetyl-L-glutamate 5-phosphotransferase,7.5075e-05,7.5075e-05,0.075075,7.5075e-05,7.5075e-05,7.5075e-05,7.507499999999986e-05,7.507500000000018e-05
rxn01975_c0,1000,beta-D-Glucose-6-phosphate:NADP+ 1-oxoreductase,5.42e-05,5.42e-05,,-5.42e-05,5.42e-05,-5.42e-05,0.0,0.0
rxn01975_d0,1000,beta-D-Glucose-6-phosphate:NADP+ 1-oxoreductase,-0.0004875,0.0004875,1.08,-0.0004875,0.0004875,0.0004875,0.00108,0.00108
rxn02159_d0,1000,L-Histidinol:NAD+ oxidoreductase,3.51924314992e-05,4.02e-05,0.04021875,3.51924314992e-05,3.51924314992e-05,3.51924314992e-05,4.021874999999999e-05,4.0218750000000026e-05
rxn02251_d0,1000,"D-Ribulose 1,5-bisphosphate oxygenase",0.0004266526786714,0.0005,1.0,0.0004266526786714,0.0004266526786714,0.0004266526786714,0.0008552241072428,0.0008552241072428
rxn02320_d0,1000,5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase,-3.51924314992e-05,4.02e-05,0.04021875,-3.51924314992e-05,-3.51924314992e-05,-3.51924314992e-05,-4.021874999999999e-05,-4.0218750000000026e-05
rxn02373_c0,1000,L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating),-5.9e-05,5.9e-05,,-5.9e-05,-5.9e-05,-5.9e-05,-0.0008919321473664,0.0
rxn02914_d0,1000,3-Phosphoserine:2-oxoglutarate aminotransferase,-0.0002037749999999,0.000203775,0.203775,-0.000203775,-0.000203775,-0.000203775,-0.0002579532331463,-0.0002579532331463
rxn02928_d0,1000,"2,3,4,5-Tetrahydrodipicolinate:NAD+ oxidoreductase",-6.97e-05,6.97e-05,0.0697125,-6.97e-05,-1.9207195366399894e-05,-6.97e-05,-6.97125e-05,9.39446756081263e-06
rxn02929_d0,1000,"2,3,4,5-Tetrahydrodipicolinate:NADP+ oxidoreductase",-1.9207195366399905e-05,6.97e-05,0.0697125,6.97e-05,-6.970000000000001e-05,-1.9207195366399905e-05,-6.97125e-05,6.97125e-05
rxn03062_d0,1000,3-Isopropylmalate:NAD+ oxidoreductase,0.0001592920583647,9.92e-05,0.09920625,0.0001592920583647,0.0001592920583647,0.0001592920583647,0.0002642403639652,0.0002642403639652
rxn04954_c0,1000,5-methyltetrahydrofolate:NAD+ oxidoreductase,-2.96e-05,2.96e-05,0.147916667,-2.96e-05,-2.96e-05,-2.96e-05,0.000147916667,-0.000147916667
rxn05036_d0,1000,L-arogenate:2-oxoglutarate aminotransferase,-0.0001045982764151,0.000104569,0.10456875,-0.0001045982764151,-0.0001045982764151,-0.0001045982764151,-0.0001053354170014,-0.0001053354170014
rxn00275_x0,1000,Glycine:2-oxoglutarate aminotransferase,-0.0005,0.0005,1.0,-0.0005,-0.0005,-0.0005,-0.001,0.001
rxn19345_c0,1000,CYSSYNMULTI-RXN.c,2.950000000000001e-05,2.95e-05,0.02949375,2.95e-05,2.950000000000001e-05,2.95e-05,2.949375e-05,2.949375000000005e-05
rxn00179_c0,1000,ATP:L-glutamate 5-phosphotransferase,5.9e-05,5.9e-05,,5.9e-05,5.9e-05,5.9e-05,0.0008919321473664,0.0
rxn00187_d0,1000,L-Glutamate:ammonia ligase (ADP-forming),0.001666667,0.001666667,1.66,0.001666667,0.001666667,0.001666667,0.00166,0.00166
rxn00187_c0,1000,L-Glutamate:ammonia ligase (ADP-forming),0.0005,0.0005,,0.0005,0.0005,0.0005,0.0,0.0
rxn00154_m0,1000,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating),0.005333333,0.005333333,5.333333333,0.005333333,0.005333333,0.005333333,0.005333333333,0.0053333333329999
rxn00161_d0,1000,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),-0.0159461554401887,0.031916667,63.8,-0.0123048329704224,0.031916667,0.0266045851726056,0.0416651583111678,0.0638
rxn00018_d0,1000,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)",0.0317033406606643,0.031916667,63.8,0.0317033406606642,0.0317033406606642,0.0317033406606642,0.0630835782469393,0.0630835782469393
rxn00148_c0,1000,ATP:pyruvate 2-O-phosphotransferase,0.002125,0.002125,3.19,0.002125,0.002125,0.002125,0.00319,0.00319
rxn00069_d0,1000,L-glutamate:NAD+ oxidoreductase (transaminating),0.001666667,0.001666667,1.66,0.0007598795571159,0.001666667,-0.0004450822270177,0.00166,0.00166
protein_flex,950,protein_flex,-0.0006728416316,,,-0.0006728416316,-0.0006728416316,-0.0006728416316,-0.0006728416316,-0.0006728416316
dna_flex,950,dna_flex,-0.002676474574747,,,-0.0026747266515954,-0.0026747266516003,-0.0026764745747476,-0.0045113013776065,-0.0045113013776065
rna_flex,950,rna_flex,0.0037944955996413,,,0.0037920175313758,0.0037920175313827,0.0037944955996422,0.00639576904167,0.00639576904167
FLEX_cpd00052_c0,900,Exchange for CTP,-0.0001247187435,,,0.0001247187435,0.0001247187435,-0.0001247187435,0.0001247187435,0.0001247187435
FLEX_cpd00054_c0,900,Exchange for L-Serine,-0.000479687475,,,-0.000479687475,-0.000479687475,-0.000479687475,-0.000479687475,-0.000479687475
FLEX_cpd00053_c0,900,Exchange for L-Glutamine,0.0003405781072499,,,0.0003405781072499,0.0003405781072499,0.0002575492715403,0.0003405781072499,0.0003405781072499
FLEX_cpd00035_c0,900,Exchange for L-Alanine,-0.00077229683475,,,-0.00077229683475,-0.00077229683475,-0.00077229683475,0.00077229683475,0.00077229683475
FLEX_cpd00051_c0,900,Exchange for L-Arginine,0.0,,,0.0005276562225,3.72703577946323e-05,-0.0005276562225,0.0005276562225,0.0005276562225
FLEX_cpd00060_c0,900,Exchange for L-Methionine,-0.00023504686275,,,-0.00023504686275,-0.00023504686275,-0.00023504686275,-0.00023504686275,-0.00023504686275
FLEX_cpd00056_c0,900,Exchange for TPP,-3.8656078500149213e-07,,,-4.79687475e-07,-4.79687475e-07,-3.8656078500451773e-07,-4.79687475e-07,-4.79687475e-07
FLEX_cpd00084_c0,900,Exchange for L-Cysteine,-9.660392905194776e-05,,,-9.651080236194922e-05,-9.651080236194918e-05,-9.66039290519464e-05,2.3411900476977634e-06,-0.00013910936775
FLEX_cpd00065_c0,900,Exchange for L-Tryptophan,-0.000115124994,,,-0.000115124994,-0.000115124994,-0.000115124994,0.000115124994,0.000115124994
FLEX_cpd00066_c0,900,Exchange for L-Phenylalanine,-0.0003549687314999,,,-0.0003549687314999,-0.0003549687314999,-0.0003549687314999,-0.0003549687314999,-0.0003549687314999
FLEX_cpd00069_c0,900,Exchange for L-Tyrosine,-0.00023504686275,,,-0.00023504686275,-0.00023504686275,-0.00023504686275,-0.00023504686275,-0.00023504686275
FLEX_cpd00080_c0,900,Exchange for Glycerol-3-phosphate,-0.0006235937175,,,-0.0006235937175,-0.0006235937175,-0.0006235937175,-0.0006235937175,-0.0006235937175
FLEX_cpd00041_c0,900,Exchange for L-Aspartate,-0.0004700937255,,,0.0004700937255,0.0004700937255,-0.0004700937255,0.0004700937255,0.0004700937255
FLEX_cpd00087_c0,900,Exchange for Tetrahydrofolate,4.79687475e-07,,,4.79687475e-07,4.79687475e-07,4.79687475e-07,4.79687475e-07,4.79687475e-07
FLEX_cpd00050_c0,900,Exchange for FMN,4.79687475e-07,,,4.79687475e-07,4.79687475e-07,4.79687475e-07,-4.79687475e-07,-4.79687475e-07
FLEX_cpd00023_c0,900,Exchange for L-Glutamate,0.0006235937175,,,0.0006235937175,0.0006235937175,0.0006235937175,0.0006235937175,0.0006235937175
FLEX_cpd00039_c0,900,Exchange for L-Lysine,-0.000460499976,,,-0.000460499976,-0.000460499976,-0.000460499976,6.0911350616415865e-05,6.091135061643755e-05
FLEX_cpd00038_c0,900,Exchange for GTP,-0.0001247187435,,,-0.0001247187435,-0.0001247187435,-0.0001247187435,-0.0001247187435,-0.0001247187435
FLEX_cpd00033_c0,900,Exchange for Glycine,-0.0007195312124999,,,-0.0007195312124999,-0.0007195312124999,-0.0007195312124999,-0.0007195312124999,-0.0007195312124999
FLEX_cpd00032_c0,900,Exchange for Oxaloacetate,-0.000363123418575,,,0.000363123418575,-0.000363123418575,0.000363123418575,0.000363123418575,0.000363123418575
FLEX_cpd00104_c0,900,Exchange for BIOT,-4.79687475e-07,,,-4.79687475e-07,-4.79687475e-07,-4.79687475e-07,-4.79687475e-07,-4.79687475e-07
FLEX_cpd00017_c0,900,Exchange for S-Adenosyl-L-methionine,-2.60470298925e-06,,,-2.60470298925e-06,-2.60470298925e-06,-2.60470298925e-06,-2.60470298925e-06,-2.60470298925e-06
FLEX_cpd00016_c0,900,Exchange for Pyridoxal phosphate,-4.79687475e-07,,,-4.79687475e-07,-4.79687475e-07,-4.79687475e-07,-4.79687475e-07,-4.79687475e-07
FLEX_cpd00015_c0,900,Exchange for FAD,4.79687475e-07,,,4.79687475e-07,4.79687475e-07,4.79687475e-07,-4.79687475e-07,-4.79687475e-07
FLEX_cpd00014_c0,900,Exchange for UDP,-0.0019407757123761,,,-0.0002969408895048,-0.0015262398203564,-0.0028199665497832,0.0036744060585,0.0036744060585
FLEX_cpd00010_c0,900,Exchange for CoA,-6.52374966e-07,,,-6.52374966e-07,-6.52374966e-07,-6.52374966e-07,-6.52374966e-07,-6.52374966e-07
FLEX_cpd00006_c0,900,Exchange for NADP,-6.235937174999999e-07,,,-6.235937174999999e-07,-6.235937174999999e-07,-6.235937174999999e-07,6.235937174999999e-07,6.235937174999999e-07
FLEX_cpd00005_c0,900,Exchange for NADPH,-4.79687475e-07,,,-4.79687475e-07,-4.79687475e-07,-4.79687475e-07,4.79687475e-07,-4.79687475e-07
FLEX_cpd00004_c0,900,Exchange for NADH,-7.195312124999999e-07,,,-7.195312124999999e-07,-7.195312124999999e-07,-7.195312124999999e-07,7.195312124999999e-07,7.195312124999999e-07
FLEX_cpd00003_c0,900,Exchange for NAD,-1.439062425e-06,,,-1.439062425e-06,-1.439062425e-06,-1.439062425e-06,1.439062425e-06,1.439062425e-06
FLEX_cpd00098_c0,900,Exchange for Choline,-1.822812405e-06,,,-1.822812405e-06,-1.822812405e-06,-1.822812405e-06,-1.822812405e-06,-1.822812405e-06
FLEX_cpd00099_c0,900,Exchange for Cl-,-0.0010073436975,,,-0.0010073436975,-0.0010073436975,-0.0010073436975,-0.0010073436975,-0.0010073436975
FLEX_cpd00536_c0,900,Exchange for Oleate,7.195312125e-05,,,7.195312125e-05,1.865337052470586e-05,7.195312125e-05,7.195312125e-05,7.195312125e-05
FLEX_cpd30321_c0,900,Exchange for beta-D-Fructose,0.0,,,0.001089370255725,0.001089370255725,0.0,0.0,0.001089370255725
FLEX_cpd00107_c0,900,Exchange for L-Leucine,-0.000825062457,,,-0.000825062457,-0.000825062457,-0.000825062457,-0.0007201141513995,-0.0007201141513995
FLEX_cpd00604_c0,900,Exchange for 4-Coumarate,-0.0026382811125,,,-0.0026382811125,-0.0026382811125,-0.0026382811125,-0.0026382811125,-0.0026382811125
FLEX_cpd00834_c0,900,Exchange for Phosphopantetheine,-4.79687475e-06,,,-4.79687475e-06,-4.79687475e-06,-4.79687475e-06,4.79687475e-06,4.79687475e-06
FLEX_cpd01059_c0,900,Exchange for Ferulate,-0.000364562481,,,-0.000364562481,-0.000364562481,-0.000364562481,-0.000364562481,-0.000364562481
FLEX_cpd01080_c0,900,Exchange for ocdca,5.276562225e-05,,,5.276562225e-05,5.276562225e-05,5.276562225e-05,5.276562225e-05,5.276562225e-05
FLEX_cpd01420_d0,900,Exchange for beta-Carotene,1.247187435e-05,,,1.247187435e-05,1.247187435e-05,1.247187435e-05,1.247187435e-05,1.247187435e-05
FLEX_cpd01476_d0,900,Exchange for Protoporphyrin,4.79687475e-07,,,4.79687475e-07,4.79687475e-07,4.79687475e-07,4.79687475e-07,4.79687475e-07
FLEX_cpd02197_c0,900,Exchange for 5-Formyltetrahydrofolate,4.79687475e-07,,,4.79687475e-07,4.79687475e-07,4.79687475e-07,4.79687475e-07,4.79687475e-07
