,Name,Mature_leaf_flux,Mature_leaf_vfit
rxn00272_x0,L-Alanine:glyoxylate aminotransferase,0.0,
rxn00275_d0,Glycine:2-oxoglutarate aminotransferase,0.0,
rxn00275_m0,Glycine:2-oxoglutarate aminotransferase,0.0004017424006586978,
rxn00275_x0,Glycine:2-oxoglutarate aminotransferase,-0.0005,0.0
rxn00285_m0,Succinate:CoA ligase (ADP-forming),-0.005333333,0.0
rxn00293_c0,UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase,0.0,
rxn00299_c0,"GTP 7,8-8,9-dihydrolase",6.715624650000039e-06,
rxn00300_c0,"GTP 7,8-8,9-dihydrolase (diphosphate-forming)",2.23854155e-06,
rxn00300_d0,"GTP 7,8-8,9-dihydrolase (diphosphate-forming)",0.0,
rxn00313_d0,"meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)",8.89071953663999e-05,
rxn00322_c0,L-lysine carboxy-lyase (cadaverine-forming),0.0,
rxn00327_r0,(S)-ureidoglycolate amidohydrolase (decarboxylating),0.0,
rxn00330_c0,"acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)",0.0,
rxn00333_d0,Glycolate:oxygen 2-oxidoreductase,0.0,
rxn00333_x0,Glycolate:oxygen 2-oxidoreductase,0.0004333683033214286,6.663169667857149e-05
rxn00337_d0,ATP:L-aspartate 4-phosphotransferase,0.00026324930879728745,-1.380330879728746e-05
rxn00338_c0,L-aspartate:oxygen oxidoreductase,1.087291610000346e-06,
rxn00338_d0,L-aspartate:oxygen oxidoreductase,0.0,
rxn00342_c0,L-Asparagine amidohydrolase,0.0,
rxn00343_m0,3-Cyano-L-alanine aminohydrolase,-0.0005516125026304001,
rxn00355_c0,UTP:alpha-D-galactose-1-phosphate uridylyltransferase,0.0,
rxn00361_c0,ATP:adenylylsulfate 3'-phosphotransferase,0.0,
rxn00361_d0,ATP:adenylylsulfate 3'-phosphotransferase,0.0,
rxn00363_c0,Cytidine-5'-monophosphate phosphohydrolase,1.8164165719992373e-06,
rxn00364_c0,ATP:CMP phosphotransferase,-1.8164165719992373e-06,
rxn00366_c0,CDP phosphohydrolase,0.0,
rxn00366_g0,CDP phosphohydrolase,0.0,
rxn00371_c0,Formate:NAD+ oxidoreductase,0.0,
rxn00371_m0,Formate:NAD+ oxidoreductase,0.0,
rxn00377_c0,S-Formylglutathione hydrolase,0.0,
rxn00379_c0,ATP:sulfate adenylyltransferase,0.0,
rxn00379_d0,ATP:sulfate adenylyltransferase,0.040780823994051835,
rxn00379_n0,ATP:sulfate adenylyltransferase,0.0,
rxn00383_c0,Sulfite:oxygen oxidoreductase,0.04064123805767683,
rxn00383_x0,Sulfite:oxygen oxidoreductase,0.0,
rxn00391_c0,riboflavin-5-phosphate phosphohydrolase (acid optimum),0.0,
rxn00391_d0,riboflavin-5-phosphate phosphohydrolase (acid optimum),0.0,
rxn00392_c0,ATP:riboflavin 5'-phosphotransferase,2.23854155e-06,
rxn00392_d0,ATP:riboflavin 5'-phosphotransferase,0.0,
rxn00394_d0,L-Arginine amidinohydrolase,7.5075e-05,
rxn00394_m0,L-Arginine amidinohydrolase,-0.0006667994083186323,
rxn00408_c0,CTP phosphohydrolase,0.0,
rxn00408_g0,CTP phosphohydrolase,0.0,
rxn00409_c0,ATP:CDP phosphotransferase,-6.2059447061619e-05,
rxn00409_d0,ATP:CDP phosphotransferase,0.0,
rxn00409_m0,ATP:CDP phosphotransferase,0.0,
rxn00409_n0,ATP:CDP phosphotransferase,0.0,
rxn00409_x0,ATP:CDP phosphotransferase,0.0,
rxn00412_c0,UTP:L-glutamine amido-ligase (ADP-forming),0.0,
rxn00414_d0,"hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)",0.0,
rxn00416_c0,L-aspartate:L-glutamine amido-ligase (AMP-forming),3.75e-05,0.0
rxn00420_d0,O-phospho-L-serine phosphohydrolase,0.000203775,0.0
rxn00423_c0,acetyl-CoA:L-serine O-acetyltransferase,2.9500000000000012e-05,0.0
rxn00423_d0,acetyl-CoA:L-serine O-acetyltransferase,2.95e-05,0.0
rxn00424_x0,L-Serine:glyoxylate aminotransferase,-0.0005,0.0
rxn00425_c0,serine racemase,0.0,
rxn00433_c0,sarcosine:oxygen oxidoreductase (demethylating),0.0,
rxn00437_c0,ATP:thiamine-diphosphate phosphotransferase,0.0,
rxn00439_c0,Thiamin-triphosphate phosphohydrolase,0.0,
rxn00440_c0,ATP:thiamine diphosphotransferase,1.5989582500000004e-07,
rxn00451_c0,S-Adenosyl-L-methionine:L-methionine S-methyltransferase,0.0,
rxn00452_c0,S-Adenosyl-L-methionine:L-homocysteine S-methyltransferase,0.0,
rxn00454_c0,L-Methionine:glyoxylate aminotransferase,0.0004488797027290624,
rxn00456_c0,L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming),0.0,
rxn00459_c0,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming),0.002125,0.0
rxn00459_d0,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming),0.026962891999999992,
rxn00459_n0,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming),0.0,
rxn00467_m0,L-Ornithine:2-oxo-acid aminotransferase,-0.0005917244083186323,
rxn00469_c0,N2-Acetyl-L-ornithine amidohydrolase,0.0,
rxn00474_d0,L-serine hydro-lyase (adding indole; L-tryptophan-forming),2.145e-05,0.0
rxn00483_c0,L-Tryptophan:2-oxoglutarate aminotransferase,0.0,
rxn00484_c0,L-Tryptophan decarboxy-lyase,0.0,
rxn00490_d0,L-arogenate hydro-lyase (decarboxylating; L-phenylalanine-forming),5.897072358482502e-05,2.9276415174970623e-08
rxn00491_c0,L-phenylalanine:pyruvate aminotransferase,0.0,
rxn00493_c0,L-Phenylalanine:2-oxoglutarate aminotransferase,0.0,
rxn00493_d0,L-Phenylalanine:2-oxoglutarate aminotransferase,-0.0010106696665017748,
rxn00493_m0,L-Phenylalanine:2-oxoglutarate aminotransferase,0.0,
rxn00493_x0,L-Phenylalanine:2-oxoglutarate aminotransferase,0.0,
rxn00495_c0,L-phenylalanine ammonia-lyase (trans-cinnamate-forming),0.001001107760325,
rxn00499_c0,(S)-Lactate:NAD+ oxidoreductase,-6.235937174999998e-05,
rxn00503_m0,(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase,0.0,
rxn00506_c0,Acetaldehyde:NAD+ oxidoreductase,-5.9000000000000025e-05,
rxn00506_d0,Acetaldehyde:NAD+ oxidoreductase,0.0,
rxn00506_m0,Acetaldehyde:NAD+ oxidoreductase,0.0,
rxn00508_m0,Succinate-semialdehyde:NAD+ oxidoreductase,0.0,
rxn00510_c0,"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-lysine-forming)",0.0,
rxn00511_c0,"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming)",0.0,
rxn00526_d0,L-arogenate:NADP+ oxidoreductase,4.5627552830349954e-05,
rxn00527_c0,L-tyrosine:2-oxoglutarate aminotransferase,0.0,
rxn00527_d0,L-tyrosine:2-oxoglutarate aminotransferase,2.4783852875000234e-07,
rxn00527_m0,L-tyrosine:2-oxoglutarate aminotransferase,0.0,
rxn00527_x0,L-tyrosine:2-oxoglutarate aminotransferase,0.0,
rxn00533_c0,Acetyl-CoA:carbon-dioxide ligase (ADP-forming),4.796874750000001e-07,
rxn00533_d0,Acetyl-CoA:carbon-dioxide ligase (ADP-forming),0.005584086055947647,
rxn00541_c0,L-threonine acetaldehyde-lyase (glycine-forming),-0.00043598120996906237,
rxn00543_c0,ethanol:NAD+ oxidoreductase,0.0,
rxn00562_c0,(S)-ureidoglycolate urea-lyase (glyoxylate-forming),0.0,
rxn00571_c0,nitrite:NAD+ oxidoreductase,-0.001541667,0.0
rxn00578_c0,sucrose-6F-phosphate phosphohydrolase,0.0,
rxn00604_c0,D-glucose-6-phosphate:NADP+ 1-oxidoreductase,1.2630833240000021e-05,
rxn00604_d0,D-glucose-6-phosphate:NADP+ 1-oxidoreductase,0.0001625,
rxn00605_c0,UDP-glucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase,0.0,
rxn00611_c0,sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase,-0.00020786457249999998,
rxn00611_d0,sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase,0.0,
rxn00616_m0,sn-Glycerol-3-phosphate:(acceptor) 2-oxidoreductase,0.0,
rxn00640_c0,GDP:D-mannose-1-phosphate guanylyltransferase,0.0014990352155713708,
rxn00641_c0,GTP:alpha-D-mannose-1-phosphate guanylyltransferase,0.0,
rxn00642_c0,"GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)",0.0,
rxn00643_c0,"GDP-mannose 3,5-epimerase",0.0,
rxn00649_c0,O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase,2.9500000000000012e-05,0.0
rxn00649_d0,O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase,2.95e-05,0.0
rxn00649_m0,O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase,0.0,1.4700000000000001e-06
rxn00650_c0,L-cysteinylglycine dipeptidase,0.0,
rxn00653_x0,3-aminopropanal:NAD+ oxidoreductase,0.0,
rxn00654_c0,N-Carbamoyl-beta-alanine amidohydrolase,1.8164165719992373e-06,
rxn00676_c0,acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase,0.0,
rxn00686_c0,"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase",-0.00011163319045198938,
rxn00686_m0,"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase",-6.715624650000039e-06,
rxn00689_c0,Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming),0.0,
rxn00689_d0,Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming),0.0,
rxn00689_m0,Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming),0.0,
rxn00690_c0,Formate:tetrahydrofolate ligase (ADP-forming),1.359114512500004e-05,
rxn00692_c0,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase",-0.000126019,0.0
rxn00692_d0,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase",0.000126019,0.0
rxn00692_m0,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase",-0.0004703289351834,0.0
rxn00693_c0,5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase,0.0001672030642025,-0.0001376030642025
rxn00693_d0,5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase,4.640784445634997e-05,
rxn00693_x0,5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase,0.0,
rxn00695_d0,ATP:alpha-D-glucose-1-phosphate adenylyltransferase,0.0,
rxn00700_c0,GTP:alpha-D-glucose-1-phosphate guanylyltransferase,0.0,
rxn00701_c0,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,0.0,
rxn00704_c0,"alpha-D-Glucose 1-phosphate 1,6-phosphomutase",1.2630833240000021e-05,
rxn00704_d0,"alpha-D-Glucose 1-phosphate 1,6-phosphomutase",0.0001625,
rxn00708_c0,Uridine 5'-monophosphate phosphohydrolase,0.0,
rxn00710_c0,orotidine-5'-phosphate carboxy-lyase (UMP-forming),2.0026699519989054e-06,
rxn00711_d0,UMP:diphosphate phospho-alpha-D-ribosyltransferase,0.0,
rxn00720_d0,"5,6-Dihydrouracil:NADP+ oxidoreductase",-1.8164165719992373e-06,
rxn00727_d0,Chorismate pyruvate-lyase (amino-accepting),2.2226798841599976e-05,
rxn00737_d0,L-threonine ammonia-lyase (2-oxobutanoate-forming),0.00047500828357720004,
rxn00747_c0,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,0.0011666561404050004,0.0
rxn00747_d0,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,0.010315873595455109,
rxn00747_m0,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,0.0,
rxn00748_c0,glycerone-phosphate phosphate-lyase (methylglyoxal-forming),0.0,
rxn00751_c0,ATP:choline phosphotransferase,0.0,
rxn00770_c0,ATP:D-ribose-5-phosphate diphosphotransferase,6.219385431500003e-05,
rxn00770_d0,ATP:D-ribose-5-phosphate diphosphotransferase,0.0001499077830538318,
rxn00775_c0,ADP-ribose ribophosphohydrolase,0.0,
rxn00776_c0,uracil hydro-lyase (adding D-ribose 5-phosphate;pseudouridine-5'-phosphate-forming),0.0,
rxn00777_c0,D-ribose-5-phosphate aldose-ketose-isomerase,-6.235375014000003e-05,-8.153750140000034e-06
rxn00777_d0,D-ribose-5-phosphate aldose-ketose-isomerase,0.010011469474175246,
rxn00777_n0,D-ribose-5-phosphate aldose-ketose-isomerase,0.0,
rxn00779_c0,D-glyceraldehyde 3-phosphate:NADP+ oxidoreductase,0.0,
rxn00781_c0,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),-0.002125,0.0
rxn00781_d0,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),0.0,
rxn00781_m0,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),0.0,
rxn00781_n0,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),0.0,
rxn00782_d0,D-glyceraldehyde-3-phosphate:NADP+ oxidoreductase (phosphorylating),-0.031916667,0.0
rxn00789_d0,1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase,-3.51924314992e-05,0.0
rxn00790_d0,5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating),-9.248855271303182e-05,
rxn00791_d0,N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase,-2.2226798841599976e-05,-7.76798841599976e-07
rxn00797_c0,Uridine ribohydrolase,1.247187435000346e-06,
rxn00799_m0,(S)-malate hydro-lyase (fumarate-forming),-0.005333333,0.0
rxn00800_d0,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)",0.0,
rxn00802_d0,2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming),7.5075e-05,
rxn00806_c0,L-Leucine:2-oxoglutarate aminotransferase,0.0,
rxn00806_d0,L-Leucine:2-oxoglutarate aminotransferase,-0.00015929205836479992,-6.759205836479992e-05
rxn00806_m0,L-Leucine:2-oxoglutarate aminotransferase,0.0,
rxn00829_c0,ATP:(R)-5-diphosphomevalonate carboxy-lyase (adding ATP; isopentenyl-diphosphate-forming),0.00088357633415875,
rxn00829_x0,ATP:(R)-5-diphosphomevalonate carboxy-lyase (adding ATP; isopentenyl-diphosphate-forming),0.0,
rxn00830_c0,Isopentenyl-diphosphate delta3-delta2-isomerase,0.00044280750296375,
rxn00830_d0,Isopentenyl-diphosphate delta3-delta2-isomerase,0.0,
rxn00830_m0,Isopentenyl-diphosphate delta3-delta2-isomerase,0.0,
rxn00831_c0,Inosine 5'-monophosphate phosphohydrolase,0.0,
rxn00832_d0,"IMP 1,2-hydrolase (decyclizing)",-0.00012752108838723182,
rxn00834_c0,IMP:NAD+ oxidoreductase,0.00014911953651595232,
rxn00836_c0,IMP:diphosphate phospho-D-ribosyltransferase,0.0,
rxn00838_d0,IMP:L-aspartate ligase (GDP-forming),0.0,
rxn00839_c0,ATP:dADP phosphotransferase,0.0,
rxn00839_d0,ATP:dADP phosphotransferase,0.0,
rxn00839_m0,ATP:dADP phosphotransferase,0.0,
rxn00839_n0,ATP:dADP phosphotransferase,0.0,
rxn00839_x0,ATP:dADP phosphotransferase,0.0,
rxn00852_c0,Putrescine:oxygen oxidoreductase (deaminating),0.0,
rxn00853_c0,N-Carbamoylputrescine amidohydrolase,0.0,
rxn00858_m0,Agmatine amidinohydrolase,0.0,
rxn00863_d0,L-histidinal:NAD+ oxidoreductase,3.51924314992e-05,0.0
rxn00873_d0,Butanoate:CoA ligase (AMP-forming),0.0,
rxn00873_r0,Butanoate:CoA ligase (AMP-forming),0.0,
rxn00873_x0,Butanoate:CoA ligase (AMP-forming),0.0,
rxn00880_c0,myo-Inositol:oxygen oxidoreductase,0.0,
rxn00880_n0,myo-Inositol:oxygen oxidoreductase,0.0,
rxn00883_d0,1D-myo-Inositol 3-phosphate phosphohydrolase,0.0,
rxn00888_c0,UDP-galactose:myo-inositol 3-alpha-D-galactosyltransferase,0.0,
rxn00899_d0,3-methyl-2-oxobutanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating),0.0,
